timestamp,asset,decision,outcome,success,regime,reason,confluence_score
2026-02-05 22:04:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:05:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:06:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:07:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:08:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:09:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:10:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:11:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:12:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:13:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:14:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:15:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:16:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:17:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:18:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:19:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:20:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:21:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:22:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:23:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:24:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:25:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:26:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:27:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:28:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:29:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:30:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:31:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:32:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:33:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:34:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:35:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:36:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:37:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:38:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:39:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:40:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:41:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:42:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:43:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:44:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:45:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 22:46:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:47:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:48:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:49:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:50:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:51:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:52:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:53:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:54:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:55:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:56:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:57:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:58:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 22:59:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:00:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:01:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:02:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:03:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:04:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:05:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:06:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:07:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:08:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:09:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:10:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:11:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:12:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:13:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:14:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:15:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:16:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:17:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:18:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:19:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:20:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:21:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:22:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:23:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:24:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:25:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:26:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:27:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:28:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:29:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:30:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:31:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:32:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:33:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:34:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:35:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:36:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:37:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:38:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:39:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:40:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:41:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:42:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:43:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:44:34.819827,BTCUSD,UP,UP,1,pa,Dynamic Breakout UP (Dev 2.5 + RSI 100.0),1.0
2026-02-05 23:45:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:46:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:47:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:48:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:49:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:50:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:51:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:52:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-05 23:53:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:54:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:55:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:56:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:57:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:58:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-05 23:59:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:00:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:01:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:02:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:03:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:04:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:05:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:06:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:07:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:08:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:09:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:10:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:11:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:12:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:13:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:14:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:15:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:16:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:17:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:18:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:19:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:20:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:21:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:22:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:23:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:24:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:25:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:26:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:27:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:28:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:29:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:30:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:31:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:32:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:33:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:34:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:35:34.819827,BTCUSD,UP,UP,1,pa,Dynamic Breakout UP (Dev 2.5 + RSI 100.0),1.0
2026-02-06 00:36:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:37:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:38:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:39:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:40:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:41:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:42:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:43:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:44:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:45:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:46:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:47:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:48:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:49:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:50:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:51:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:52:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:53:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:54:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:55:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 00:56:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:57:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:58:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 00:59:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:00:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:01:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:02:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:03:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:04:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:05:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:06:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:07:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:08:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:09:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:10:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:11:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:12:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:13:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:14:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:15:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:16:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:17:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:18:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:19:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:20:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:21:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:22:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:23:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:24:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:25:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:26:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:27:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:28:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:29:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:30:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:31:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:32:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:33:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:34:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:35:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:36:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:37:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:38:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:39:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:40:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:41:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:42:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:43:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:44:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:45:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
2026-02-06 01:46:34.819827,BTCUSD,WAIT,UP,0,pa,No signal,1.0
2026-02-06 01:47:34.819827,BTCUSD,WAIT,DOWN,0,pa,No signal,1.0
